,Filename,Genre,Rms,Var,Zero_Crossing_Rate_Mean,Zero_Crossing_Rate_Var,Tempo,Harm_mean,Harm_var,Harm_rms,Perc_mean,Perc_var,Perc_rms,Chroma_mean,Chroma_var,Spec_Centroid_Mean,Spec_Centroid_Var,Spec_Rolloff_Mean,Spec_Rolloff_var,MFCC1_Mean,MFCC1_Var,MFCC2_Mean,MFCC2_Var,MFCC3_Mean,MFCC3_Var,MFCC4_Mean,MFCC4_Var,MFCC5_Mean,MFCC5_Var,MFCC6_Mean,MFCC6_Var,MFCC7_Mean,MFCC7_Var,MFCC8_Mean,MFCC8_Var,MFCC9_Mean,MFCC9_Var,MFCC10_Mean,MFCC10_Var,MFCC11_Mean,MFCC11_Var,MFCC12_Mean,MFCC12_Var,MFCC13_Mean,MFCC13_Var,MFCC14_Mean,MFCC14_Var,MFCC15_Mean,MFCC15_Var,MFCC16_Mean,MFCC16_Var,MFCC17_Mean,MFCC17_Var,MFCC18_Mean,MFCC18_Var,MFCC19_Mean,MFCC19_Var,MFCC20_Mean,MFCC20_Var
0,blues.00000.wav,blues,0.14068843,0.019793237,0.0830448206689868,0.000766945654594,123.046875,-4.90663e-05,0.008172463,0.090401694,-1.0618483e-05,0.005704438,0.07552773,0.35303667,0.08803292,1784.12264098674,129745.48453872246,3805.7230301080335,901252.916706492,-113.59882,2569.3696,121.57067,295.8471,-19.162262,235.58444,42.363937,151.03874,-6.362266,167.99287,18.621931,89.17242,-13.699734,67.60309,15.339802,69.001495,-12.274304,82.21985,10.970945,63.346542,-8.32606,61.76499,8.802088,51.28075,-3.6699407,41.215897,5.7446756,40.517525,-5.162783,49.784233,0.75170636,52.42454,-1.687854,36.535866,-0.40873006,41.60317,-2.3026767,55.053654,1.2224671,46.941353
1,blues.00001.wav,blues,0.10761934,0.011581921,0.0560398087055297,0.001447521491359,67.99958881578948,0.00014128137,0.0051013343,0.07142377,-0.0001796235,0.0030642096,0.0553556,0.32691783,0.09639607,1530.2617668815155,375915.5085219971,3550.7136156830047,2978310.9040219653,-207.52383,7769.1045,123.98514,559.91345,8.947019,572.3363,35.86715,264.7167,2.9095948,279.97607,21.519472,156.3668,-8.556513,200.80203,23.370676,142.56712,-10.103608,166.11464,11.899242,104.35725,-5.558824,105.15637,5.3778763,96.20453,-2.2344918,64.87307,4.220704,73.15043,-6.0106864,52.429462,0.9292943,55.337963,-0.728403,60.231407,0.29687244,48.133217,-0.28243044,51.106014,0.5306444,45.7887
2,blues.00002.wav,blues,0.18322738,0.033572275,0.0762912074632637,0.0010068290788351,161.4990234375,-1.8167423e-06,0.016344344,0.127845,-2.0188567e-05,0.0074642007,0.08639562,0.36542425,0.08785066,1552.8324813719914,156471.01101167462,3042.4101154654877,784130.8743978116,-90.757164,3317.887,140.44087,508.85614,-29.084547,412.06442,31.686693,143.95422,-13.976547,155.66135,25.753752,74.39171,-13.664991,106.84102,11.634442,106.52028,-11.778322,65.48224,9.714756,67.84235,-13.125314,57.67196,5.7912464,64.49476,-8.901966,60.390583,-1.0801601,57.690224,-9.226245,36.51437,2.4483044,40.641678,-7.7248397,47.62965,-1.819024,52.393597,-3.4404576,46.6434,-2.2381275,30.65315
3,blues.00003.wav,blues,0.16202947,0.026253546,0.0333088626256767,0.0004227589870948,63.02400914634146,3.6126085e-06,0.019055042,0.13804002,-1.8110994e-05,0.0027113643,0.05207076,0.4262787,0.094975464,1070.1534179991834,184366.00938458287,2184.8790286035382,1493077.8489404472,-199.57513,5508.2666,150.0861,456.30908,5.663404,257.10977,26.855278,158.36113,1.7700713,267.97372,14.232647,126.80743,-4.827845,155.94673,9.286853,81.2703,-0.75612015,92.3018,8.134435,71.381836,-3.200026,110.269356,6.078081,48.21452,-2.478445,56.776222,-1.081587,62.243004,-2.8744543,51.60981,0.7739941,44.432903,-3.3240688,50.218452,0.6363106,37.325726,-0.6159676,37.25778,-3.405046,31.965254
4,blues.00004.wav,blues,0.10335588,0.010682435,0.1014605387180974,0.0019541247020998,135.99917763157896,-1.845967e-05,0.004814488,0.06938652,-9.5450405e-06,0.0030943628,0.055627007,0.3042619,0.08738559,1835.1285128875493,343249.49574738176,3579.9574708164155,1572336.2989541132,-160.35417,5199.1035,126.209496,853.27124,-35.581394,334.03235,22.139256,193.75323,-32.47355,336.4254,10.850701,134.86504,-23.350069,93.29353,0.49324912,124.73352,-11.796538,129.97539,1.2035191,99.71714,-13.084959,80.24316,-2.8104994,86.43649,-6.9344707,89.548325,-7.5538764,70.91568,-9.167669,75.75422,-4.515863,85.99519,-5.451786,75.27674,-0.91595227,53.633236,-4.408018,62.882492,-11.704385,55.190254
5,blues.00005.wav,blues,0.12122749,0.014696104,0.0940415337393658,0.0062331956148022,69.83741554054055,2.1072833e-06,0.008084326,0.089912884,-2.7619379e-05,0.0032444787,0.05696033,0.3012471,0.088025026,1832.011596979316,1030483.8309652423,3481.4676306917054,3274386.1962247384,-177.80176,7307.454,118.20316,3195.2056,-17.57063,654.1079,30.760927,485.68982,-21.742554,433.27664,11.919263,266.4076,-20.734299,169.70601,3.1852882,133.70337,-8.580818,172.22575,-0.9328851,100.121,-11.772245,76.554756,-2.408764,78.802635,-9.348446,80.10772,-9.942636,47.53443,-3.9021835,60.0207,-5.574562,72.57674,-1.8393145,68.666115,-2.7893167,42.470524,-3.047805,39.803387,-8.109732,46.282936
6,blues.00006.wav,blues,0.17005652,0.028919224,0.0730522374081593,0.0019091706678011,71.77734375,-1.1749534e-05,0.016931476,0.13012101,-2.0181798e-05,0.005955405,0.07717127,0.29867062,0.09365595,1459.4696906334664,438024.9981457747,2795.910729498985,1621507.809656879,-190.06882,9653.348,130.27023,1933.7037,-36.362114,1307.0305,33.036213,480.19324,11.093892,1082.9683,-0.59188193,280.1115,-20.890266,151.6834,0.27844244,102.85332,-6.496385,131.09853,-5.5127354,153.40236,-7.847404,87.5064,-3.1243007,64.21006,-6.6028214,79.14685,-9.949999,63.03844,-6.5426884,86.344986,-10.0722275,83.254555,-10.918624,56.950497,-6.9652433,38.267097,-3.4394317,48.163643,-6.484499,70.21345
7,blues.00007.wav,blues,0.15137757,0.022915168,0.0614422461088553,0.0018488162723341,92.28515625,1.855002e-05,0.013231742,0.11502931,-4.8325477e-05,0.004836919,0.06954797,0.3172422,0.09485008,1451.8594135288974,449601.6407097152,2955.3197165929523,1629557.4144231493,-179.3723,6573.5034,136.44833,1479.0457,-26.662588,591.20874,39.96545,353.4062,5.3108945,650.0896,10.919133,136.28798,-20.559534,163.69316,8.503361,151.28441,-11.349764,171.91978,-3.4705548,178.22743,-8.415842,147.5609,-6.957211,83.71853,-3.5460427,93.2653,-8.051759,57.423862,-8.964917,82.25946,-8.427482,70.46944,-10.5642805,52.018356,-10.785659,60.50718,-4.6954694,65.581085,-8.631641,56.38694
8,blues.00008.wav,blues,0.14757751,0.02177912,0.0640248876160092,0.0007314817438538,83.35433467741936,-1.5161455e-06,0.012705841,0.1127202,-2.0980322e-05,0.003465587,0.058869243,0.41378716,0.088279456,1719.4633657482495,163308.43298305833,3782.441190998405,1262984.5682501604,-121.38979,2619.6743,122.49833,414.5375,-14.734729,341.22403,46.12214,193.91731,-8.179258,177.07607,20.172466,106.9469,-19.171894,57.659283,23.036839,77.1547,-11.832729,42.568737,21.154655,58.8517,-6.7227974,48.918488,6.989506,56.535202,-12.730549,61.94805,5.0585384,50.54711,-5.1858068,33.02635,-1.4536042,50.578175,-7.042629,28.908443,2.694213,36.896122,3.4095309,33.671597,-2.7137442,36.34232
9,blues.00009.wav,blues,0.10467563,0.010956985,0.0791748235692188,0.0013776590528174,80.74951171875,-4.361861e-06,0.007221093,0.08497702,-2.4223738e-05,0.0016771486,0.040953018,0.27631918,0.09286858,1817.230590319968,298141.42441443686,3943.8319655416185,1366784.3467715925,-213.26424,6132.9727,115.16476,798.2638,-11.69817,669.0846,39.015358,350.93396,-20.34833,531.99756,13.082702,278.2447,-9.1827,126.45182,9.017152,67.964165,-14.104312,110.09561,4.271254,92.602684,-6.0507803,84.85938,3.7858355,104.41364,0.22263567,76.34565,-5.106882,85.42631,-0.41015333,103.98576,-1.1793448,59.323414,-1.9147079,58.461433,-2.2936609,83.12304,2.8842604,77.04225,-4.233879,91.44654
